date,lat_c,lon_c,actual,diff
2017-09-13,55.4174210892,37.5316814355,4.68,0.7
2017-09-13,55.4174187895,37.5395779313,2.9,-0.325
2017-09-13,55.4202862409,36.868325037,2.47,3.719
2017-09-13,55.4219166434,37.492197617,2.87,0.057
2017-09-13,55.4219168921,37.5000952418,2.91,0.127
2017-09-13,55.4219166311,37.5079928548,2.31,0.352
2017-09-13,55.4219158603,37.5158902474,1.65,-0.415
2017-09-13,55.4219127895,37.5316850309,1.04,0.393
2017-09-13,55.4219076798,37.5474798118,2.01,-0.26
2017-09-13,55.4248181898,36.876150838,1.9,2.679
2017-09-13,55.4264085904,37.5000952526,2.12,-0.31
2017-09-13,55.4264083294,37.507993762,3.68,0.314
2017-09-13,55.4264044872,37.5316886273,1.3,0.045
2017-09-13,55.4264021868,37.5395869155,1.46,-0.501
2017-09-13,55.4308992778,37.4842966598,1.18,-0.132
2017-09-13,55.4309002853,37.5000952634,2.41,0.212
2017-09-13,55.4308938806,37.5395914095,1.24,-0.539
2017-09-13,55.4308877494,37.5553897722,3.56,0.504
2017-09-13,55.4308839187,37.563288951,1.93,-0.252
2017-09-13,55.4335932647,36.8365129585,1.21,2.035
2017-09-13,55.4353919765,37.5000952742,1.06,0.804
2017-09-13,55.4353827596,37.5474959837,1.48,0.33
2017-09-13,55.4353794383,37.5553960612,1.74,0.41
2017-09-13,55.4353756071,37.5632961369,2.0,-0.148
2017-09-13,55.4380415605,36.8285375395,1.13,3.184
2017-09-13,55.438084653,36.8364376198,1.07,4.157
2017-09-13,55.4398744463,37.5475013774,1.73,1.636
2017-09-13,55.4398711246,37.555402352,1.13,0.919
2017-09-13,55.4398672927,37.5633033248,7.03,1.821
2017-09-13,55.4377651842,36.2280681988,1.21,3.79
2017-09-13,55.4488667697,37.507998302,2.3,4.4
2017-09-13,55.4488659982,37.5159010767,2.36,4.452
2017-09-13,55.4533576764,37.5159028834,1.98,3.095
2017-09-13,55.457849351,37.5159046906,1.28,0.1
2017-09-13,55.471152938,37.2945069207,1.98,0.807
2017-09-13,55.4711659544,37.3024141055,3.24,1.363
2017-09-13,55.47117846,37.3103212967,2.34,1.877
2017-09-13,55.4756445705,37.2944835539,1.31,0.532
2017-09-13,55.475657589,37.3023916378,2.82,0.969
2017-09-13,55.4756700968,37.310299728,2.36,0.305
2017-09-13,55.4758006573,37.563360901,1.93,1.183
2017-09-13,55.4846408494,37.3023466833,1.77,-0.501
2017-09-13,55.4848001023,37.5080055794,1.05,1.413
2017-09-13,55.4891194495,37.2944134128,1.78,0.199
2017-09-13,55.4891324746,37.3023241966,1.92,-0.436
2017-09-13,55.4892917542,37.5080064903,1.15,1.986
2017-09-13,55.4892909815,37.5159173551,1.2,0.905
2017-09-13,55.4892896977,37.5238282193,1.17,1.627
2017-09-13,55.4892756137,37.563382527,3.21,0.064
2017-09-13,55.4892712638,37.5712933814,1.43,0.32
2017-09-13,55.4892664028,37.5792042365,1.8,4.828
2017-09-13,55.4936240965,37.3023017034,1.04,0.045
2017-09-13,55.4936486173,37.318125088,1.44,0.519
2017-09-13,55.4937672595,37.5633897392,1.48,3.276
2017-09-13,55.4937629089,37.5713014952,4.76,7.317
2017-09-13,55.4937580471,37.579213249,2.23,5.185
2017-09-13,55.4982589019,37.5633969534,2.98,1.192
2017-09-13,55.4982545506,37.5713096099,3.84,1.294
2017-09-13,55.4982496881,37.5792222641,2.1,0.405
2017-09-13,55.5026198503,37.3101701886,1.27,3.341
2017-09-13,55.5026318593,37.318083685,1.41,2.157
2017-09-13,55.5027543819,37.5554906091,1.09,0.733
2017-09-13,55.502750541,37.5634041698,4.18,1.096
2017-09-13,55.502746189,37.5713177269,3.02,-0.002
2017-09-13,55.5027413256,37.5792312817,1.48,-0.445
2017-09-13,55.502735951,37.5871448341,4.68,1.094
2017-09-13,55.502730065,37.5950583835,2.3,0.651
2017-09-13,55.4985106389,36.0361862903,2.49,0.254
2017-09-13,55.5072422756,37.4367794961,1.62,3.376
2017-09-13,55.5072460184,37.5554969266,2.37,0.515
2017-09-13,55.5072421769,37.5634113881,4.52,1.028
2017-09-13,55.5030008131,36.0360196855,1.28,0.27
2017-09-13,55.5090380122,36.6848584426,1.0,0.524
2017-09-13,55.5117376515,37.5555032457,1.72,1.288
2017-09-13,55.5117338094,37.5634186085,5.17,1.254
2017-09-13,55.5161844015,37.3813513269,1.65,1.259
2017-09-13,55.5162293677,37.4446813606,1.11,2.994
2017-09-13,55.5162326125,37.5475933022,1.22,1.211
2017-09-13,55.5162292814,37.5555095667,1.59,1.39
2017-09-13,55.5162254386,37.5634258308,1.98,1.097
2017-09-13,55.5206596607,37.3655035324,1.16,0.774
2017-09-13,55.5207209943,37.4446750596,3.63,3.427
2017-09-13,55.5207243131,37.4525922258,1.22,2.163
2017-09-13,55.5207271209,37.460509394,1.07,1.467
2017-09-13,55.5241775458,36.9933496261,2.75,5.837
2017-09-13,55.5242100318,37.0012671885,2.2,5.225
2017-09-13,55.5252126175,37.4446687568,2.37,3.202
2017-09-13,55.5252159374,37.4525868249,1.52,1.558
2017-09-13,55.5286689928,36.9932919007,1.6,5.524
2017-09-13,55.5287014839,37.0012103641,2.3,6.011
2017-09-13,55.5297144111,37.5238526496,4.66,1.385
2017-09-13,55.5342073152,37.5159354905,1.23,-0.773
2017-09-13,55.5342060294,37.5238553678,1.76,-0.778
2017-09-13,55.534199101,37.5476149956,1.63,-0.09
2017-09-13,55.5341826961,37.5792944762,4.02,0.06
2017-09-13,55.5386989305,37.5159373068,3.12,-0.53
2017-09-13,55.5386976444,37.5238580868,2.05,-0.339
2017-09-13,55.5386935363,37.5396996458,2.78,-0.163
2017-09-13,55.5386835349,37.5634619733,1.08,-0.124
2017-09-13,55.5386743072,37.5793035142,3.09,-0.37
2017-09-13,55.5424996149,37.0881736845,1.1,1.672
2017-09-13,55.5431913165,37.5080174403,1.57,-0.352
2017-09-13,55.5431905423,37.5159391238,2.72,-0.191
2017-09-13,55.543189256,37.5238608067,3.74,-0.434
2017-09-13,55.5431874577,37.5317824889,3.8,1.481
2017-09-13,55.5431851478,37.5397041715,4.2,0.986
2017-09-13,55.5431789909,37.5555475299,1.92,0.135
2017-09-13,55.5431751443,37.5634692079,1.33,-0.071
2017-09-13,55.543165915,37.5793125547,1.14,-0.714
2017-09-13,55.547680902,37.476327552,1.27,3.965
2017-09-13,55.5476829258,37.5080183544,1.01,-0.362
2017-09-13,55.5476821515,37.5159409411,1.84,0.199
2017-09-13,55.5476808649,37.5238635273,1.24,-0.47
2017-09-13,55.5476767555,37.5397086986,2.44,-0.525
2017-09-13,55.5476739325,37.5476312817,1.66,-1.136
2017-09-13,55.5476705975,37.5555538633,2.61,-0.521
2017-09-13,55.5476667503,37.5634764445,6.89,1.33
2017-09-13,55.5476623909,37.5713990224,1.57,0.709
2017-09-13,55.5521707205,37.4684013636,1.72,4.646
2017-09-13,55.5521725071,37.4763248525,1.59,4.468
2017-09-13,55.5521737815,37.4842483422,1.35,4.203
2017-09-13,55.5521655365,37.5476367134,2.33,0.184
2017-09-13,55.5521622008,37.5555601985,2.15,0.035
2017-09-13,55.5566600227,37.4604733674,1.23,5.59
2017-09-13,55.5566623219,37.4683977594,1.76,5.85
2017-09-13,55.5566641088,37.4763221522,1.8,5.288
2017-09-13,55.5566653834,37.4842465456,1.74,3.712
2017-09-13,55.5566661456,37.4921709394,1.44,0.339
2017-09-13,55.560568019,37.1196857072,3.13,1.942
2017-09-13,55.5611516204,37.4604688583,1.03,3.913
2017-09-13,55.5611269265,37.5872740277,2.1,1.302
2017-09-13,55.56562889,37.4287595616,1.1,0.449
2017-09-13,55.565623904,37.5793577955,12.34,2.893
2017-09-13,55.5656185169,37.5872839853,5.05,1.884
2017-09-13,55.5700487814,37.3494806205,1.14,0.108
2017-09-13,55.570134806,37.4604598364,1.72,2.011
2017-09-13,55.5701371063,37.4683869413,1.24,1.341
2017-09-13,55.5701203675,37.571439756,1.67,-0.889
2017-09-13,55.5701154919,37.5793668514,9.58,0.611
2017-09-13,55.5701101038,37.5872939456,3.21,1.313
2017-09-13,55.5737408818,37.0323513957,1.28,1.727
2017-09-13,55.5746235806,37.4525273153,1.49,1.446
2017-09-13,55.5746263941,37.4604553236,1.11,0.794
2017-09-13,55.5746286948,37.4683833331,1.3,-0.064
2017-09-13,55.5746304828,37.4763113432,1.54,-0.2
2017-09-13,55.5746163169,37.5635199072,1.48,-0.185
2017-09-13,55.5746070768,37.5793759097,1.5,-0.5
2017-09-13,55.574589372,37.603159895,1.28,-0.056
2017-09-13,55.5745824449,37.6110878848,5.76,3.835
2017-09-13,55.5745750053,37.6190158695,1.29,0.647
2017-09-13,55.5791202799,37.468379724,1.38,-0.232
2017-09-13,55.5790986583,37.5793849707,1.65,-0.112
2017-09-13,55.5790809502,37.603171671,1.26,0.213
2017-09-13,55.5790740222,37.6111005656,1.93,0.655
2017-09-13,55.5836136502,37.4763059341,1.01,-0.111
2017-09-13,55.5835789418,37.5952536483,2.4,-0.686
2017-09-13,55.5874920821,37.1114947521,2.0,2.451
2017-09-13,55.5880335084,37.365273246,2.25,-0.189
2017-09-13,55.5919835548,37.1114503825,1.11,0.818
2017-09-13,55.5925066161,37.349394675,1.1,0.161
2017-09-13,55.5925949652,37.5318224069,2.76,0.475
2017-09-13,55.5925926505,37.539754039,4.71,1.79
2017-09-13,55.5925898229,37.5476856697,1.64,-0.196
2017-09-13,55.592562084,37.5952754068,1.38,-0.544
2017-09-13,55.5925556653,37.60320702,3.17,-0.051
2017-09-13,55.5925487342,37.6111386298,1.49,-0.204
2017-09-13,55.596998173,37.3493774717,4.16,2.677
2017-09-13,55.5970904035,37.5080284273,1.0,0.033
2017-09-13,55.5970865368,37.531826042,5.12,1.1
2017-09-13,55.5970842218,37.53975858,1.88,-0.014
2017-09-13,55.5970813942,37.5476911168,2.27,0.818
2017-09-13,55.5970536506,37.59528629,1.18,-0.304
2017-09-13,55.5970472309,37.6032188092,4.36,0.208
2017-09-13,55.5970402981,37.611151325,1.68,-0.496
2017-09-13,55.6006894512,37.0320308845,1.11,3.209
2017-09-13,55.6007194643,37.0399638929,1.69,1.457
2017-09-13,55.6013953544,37.2858932417,1.33,1.716
2017-09-13,55.6014797265,37.3414268651,2.68,0.236
2017-09-13,55.6014897271,37.3493602634,14.53,2.033
2017-09-13,55.6014992145,37.3572936656,4.07,-0.373
2017-09-13,55.6015781546,37.468361663,8.22,0.216
2017-09-13,55.6015799445,37.4762951069,7.18,-0.124
2017-09-13,55.6015819724,37.5080293445,8.38,4.386
2017-09-13,55.6015811965,37.5159627897,2.57,0.236
2017-09-13,55.6015799074,37.5238962343,8.36,1.891
2017-09-13,55.6015781051,37.5318296782,4.14,1.462
2017-09-13,55.6015757902,37.5397631224,2.61,0.068
2017-09-13,55.6015729616,37.5476965654,1.43,-0.477
2017-09-13,55.6015387927,37.6032306017,5.41,0.203
2017-09-13,55.6015318587,37.6111640237,1.34,-1.037
2017-09-13,55.6016036084,36.4528589677,1.38,2.163
2017-09-13,55.6051808682,37.0319774125,3.4,2.64
2017-09-13,55.6058727807,37.2779345213,1.32,2.254
2017-09-13,55.6058868889,37.2858687766,3.91,0.863
2017-09-13,55.6059004839,37.2938030387,1.75,0.667
2017-09-13,55.6059135656,37.3017373081,1.29,1.626
2017-09-13,55.6059712751,37.3414087455,1.15,-0.164
2017-09-13,55.6060646,37.4524893484,1.04,1.067
2017-09-13,55.6060727873,37.4842267494,1.67,-0.199
2017-09-13,55.6060735509,37.492161101,1.48,-0.291
2017-09-13,55.6060738013,37.5000956875,1.2,0.247
2017-09-13,55.6060735386,37.508030262,5.54,2.213
2017-09-13,55.6060727625,37.5159646137,1.8,1.326
2017-09-13,55.6060714732,37.5238989649,2.34,-0.488
2017-09-13,55.6060696706,37.5318333152,5.34,0.553
2017-09-13,55.6060673548,37.539767666,5.64,0.714
2017-09-13,55.6060611834,37.5556363621,2.97,0.726
2017-09-13,55.6060426815,37.5873737291,3.27,1.349
2017-09-13,55.6060367729,37.5953080656,1.76,-0.252
2017-09-13,55.606030351,37.6032423975,1.81,-0.638
2017-09-13,55.606023416,37.6111767261,5.32,2.166
2017-09-13,55.6060159676,37.6191110511,2.12,0.038
2017-09-13,55.6103643094,37.2779091416,1.0,0.806
2017-09-13,55.6103784201,37.2858443045,1.64,0.366
2017-09-13,55.6103920173,37.2937794735,2.68,1.901
2017-09-13,55.6105651132,37.4921602051,1.6,-0.216
2017-09-13,55.6105643247,37.5159664383,1.83,1.111
2017-09-13,55.6105630352,37.5239016962,3.18,1.228
2017-09-13,55.6105612323,37.5318369534,3.36,-0.053
2017-09-13,55.6105589161,37.5397722109,55.04,2.748
2017-09-13,55.6105560865,37.5477074672,9.02,3.46
2017-09-13,55.6105342392,37.5873837147,7.94,1.649
2017-09-13,55.6105219067,37.6032541966,5.54,-1.162
2017-09-13,55.6105149704,37.611189432,16.86,0.99
2017-09-13,55.6105075208,37.6191246638,2.2,-0.323
2017-09-13,55.6148412088,37.2699476928,1.3,-0.17
2017-09-13,55.6148558352,37.2778837557,1.07,-0.03
2017-09-13,55.6148966335,37.3016919842,2.37,0.749
2017-09-13,55.6149092061,37.3096280737,1.89,1.441
2017-09-13,55.6150566599,37.5080320979,4.65,-0.927
2017-09-13,55.6150558836,37.5159682633,3.4,0.535
2017-09-13,55.6150527907,37.5318405926,1.37,-0.314
2017-09-13,55.6150504741,37.5397767572,6.22,1.305
2017-09-13,55.615047644,37.5477129205,6.19,3.897
2017-09-13,55.6150443006,37.5556490809,1.27,1.88
2017-09-13,55.6150311902,37.5794575501,2.41,0.226
2017-09-13,55.6150257931,37.5873937032,15.59,3.012
2017-09-13,55.6150198825,37.5953298534,1.38,-0.666
2017-09-13,55.6150134585,37.6032659991,4.51,-0.286
2017-09-13,55.615006521,37.6112021416,2.83,-0.046
2017-09-13,55.6184304903,36.9762608978,1.21,2.239
2017-09-13,55.6184641175,36.9841974216,1.2,0.477
2017-09-13,55.618561918,37.0080070939,1.17,2.457
2017-09-13,55.6193327285,37.2699213925,1.96,0.272
2017-09-13,55.6193881627,37.3016693129,1.34,2.118
2017-09-13,55.6194908021,37.3810395272,1.19,3.092
2017-09-13,55.6194982418,37.3889765734,2.06,3.299
2017-09-13,55.619505168,37.3969136232,1.44,3.876
2017-09-13,55.6195443958,37.4683471959,17.19,2.059
2017-09-13,55.6195461869,37.4762842674,15.18,2.21
2017-09-13,55.6195474645,37.4842213398,2.09,0.215
2017-09-13,55.6195482162,37.5080330162,4.22,-0.419
2017-09-13,55.6195474398,37.5159700889,1.65,0.498
2017-09-13,55.6195227417,37.5794666341,1.11,0.295
2017-09-13,55.6195173436,37.5874036945,5.12,1.09
2017-09-13,55.619511432,37.595340752,2.16,-1.028
2017-09-13,55.6195050069,37.603277805,7.94,1.832
2017-09-13,55.6194980684,37.6112148547,6.13,3.07
2017-09-13,55.6194906162,37.6191519027,2.17,1.614
2017-09-13,55.6238796883,37.3016466353,4.06,2.465
2017-09-13,55.6238922652,37.3095845396,2.31,2.152
2017-09-13,55.6239897864,37.3889638786,1.38,4.469
2017-09-13,55.6239967138,37.3969018359,1.65,4.005
2017-09-13,55.6240031275,37.404839798,1.08,2.247
2017-09-13,55.6240359476,37.4683435766,13.58,1.94
2017-09-13,55.624037739,37.4762815557,3.5,0.915
2017-09-13,55.6240390168,37.4842195355,1.68,-0.121
2017-09-13,55.6240397686,37.5080339347,1.85,0.605
2017-09-13,55.624038992,37.5159719151,1.04,0.19
2017-09-13,55.6240088914,37.5874136885,7.65,0.825
2017-09-13,55.6239965527,37.6032896142,1.76,-0.761
2017-09-13,55.6239896129,37.6112275714,4.83,0.412
2017-09-13,55.6239821596,37.619165527,2.53,0.126
2017-09-13,55.6283712106,37.3016239511,1.73,2.157
2017-09-13,55.6284946705,37.4048289152,1.02,1.716
2017-09-13,55.6285108329,37.4286455394,7.61,2.492
2017-09-13,55.628515193,37.4365844186,1.03,-0.492
2017-09-13,55.6285190389,37.4445232999,1.13,0.216
2017-09-13,55.6285292877,37.4762788431,2.4,-0.289
2017-09-13,55.6285305657,37.4842177307,4.29,-0.074
2017-09-13,55.6285305409,37.5159737418,3.5,-0.136
2017-09-13,55.6285274465,37.5318515162,1.12,0.36
2017-09-13,55.6284945217,37.5953625583,1.97,-0.058
2017-09-13,55.6284880946,37.6033014266,2.1,-0.823
2017-09-13,55.6284736991,37.619179155,1.46,-0.227
2017-09-13,55.6326904309,37.2142648185,1.73,0.636
2017-09-13,55.6329305098,37.3492396684,4.07,2.746
2017-09-13,55.6329400084,37.3571794215,1.28,0.595
2017-09-13,55.6329921122,37.4127578094,1.55,2.71
2017-09-13,55.6329975006,37.4206975918,2.22,2.702
2017-09-13,55.633006736,37.436577165,2.58,-0.713
2017-09-13,55.6330105831,37.4445169543,3.99,0.897
2017-09-13,55.6330221119,37.4842159255,1.04,-0.32
2017-09-13,55.633022864,37.5080357726,1.88,0.305
2017-09-13,55.6330220872,37.5159755689,7.58,1.025
2017-09-13,55.6330207965,37.523915366,4.27,-0.672
2017-09-13,55.6330189921,37.5318551595,3.36,1.906
2017-09-13,55.633016674,37.5397949548,1.2,-0.272
2017-09-13,55.6329860614,37.5953734661,3.8,0.328
2017-09-13,55.6329796331,37.6033132425,5.55,-0.251
2017-09-13,55.632972691,37.6112530156,1.27,0.182
2017-09-13,55.6366206902,37.0316026909,1.07,-0.139
2017-09-13,55.6371819182,37.2142321305,1.47,0.317
2017-09-13,55.6374120235,37.3412817651,2.18,-0.247
2017-09-13,55.6374220368,37.3492224213,5.01,0.593
2017-09-13,55.6374315369,37.3571630822,2.28,-0.849
2017-09-13,55.6374489956,37.3730444187,4.32,2.176
2017-09-13,55.6374643988,37.3889257726,1.53,0.957
2017-09-13,55.6375021238,37.4445106069,1.13,1.498
2017-09-13,55.6375144065,37.508036692,2.04,-0.631
2017-09-13,55.6375136294,37.5159773965,3.24,0.645
2017-09-13,55.6375123389,37.523918102,1.95,-0.792
2017-09-13,55.6375105343,37.5318588052,3.7,0.088
2017-09-13,55.6375082157,37.5397995074,1.59,-0.401
2017-09-13,55.637477598,37.5953843769,2.66,0.504
2017-09-13,55.6374711685,37.6033250617,6.57,0.708
2017-09-13,55.6374642254,37.6112657431,2.78,0.216
2017-09-13,55.6374567682,37.6192064228,1.78,0.613
2017-09-13,55.6418704152,37.31743894,1.33,0.168
2017-09-13,55.6418819727,37.3253804889,1.74,0.345
2017-09-13,55.6419035457,37.3412636046,5.92,0.0
2017-09-13,55.6419135614,37.3492051692,4.83,0.552
2017-09-13,55.6419230625,37.3571467388,4.37,0.388
2017-09-13,55.6419405241,37.3730298925,1.45,0.337
2017-09-13,55.64196928,37.4047962484,1.35,-0.195
2017-09-13,55.6419751841,37.4127378439,1.28,0.117
2017-09-13,55.6420021226,37.4683290891,1.2,0.379
2017-09-13,55.6420039152,37.4762707009,4.03,-0.314
2017-09-13,55.6420051938,37.4842123135,1.36,-0.066
2017-09-13,55.6420059582,37.4921539266,1.25,0.124
2017-09-13,55.6420059459,37.5080376116,4.68,2.242
2017-09-13,55.642005169,37.5159792247,1.05,1.903
2017-09-13,55.642003878,37.5239208388,4.03,-0.314
2017-09-13,55.642002073,37.5318624506,7.78,1.085
2017-09-13,55.6419997541,37.5398040614,1.79,0.297
2017-09-13,55.641985339,37.5715704925,1.4,1.101
2017-09-13,55.6419691312,37.5953952908,2.26,-0.091
2017-09-13,55.6419627008,37.6033368841,4.08,0.003
2017-09-13,55.6419557564,37.6112784742,1.39,0.066
2017-09-13,55.6419482981,37.6192200625,1.26,-0.51
2017-09-13,55.6463619284,37.3174180478,1.14,0.039
2017-09-13,55.6463734877,37.3253605052,1.65,-0.178
2017-09-13,55.6463845331,37.3333029696,1.54,0.339
2017-09-13,55.6464050817,37.3491879124,2.45,0.278
2017-09-13,55.6464320496,37.373015362,1.05,0.953
2017-09-13,55.6464400107,37.3809578544,3.1,2.422
2017-09-13,55.646447458,37.3889003507,1.41,1.958
2017-09-13,55.6464608102,37.4047853518,4.93,0.274
2017-09-13,55.6464967296,37.4842105068,1.33,0.138
2017-09-13,55.6464974944,37.4921530287,1.94,-0.316
2017-09-13,55.646497482,37.5080385314,2.49,0.333
2017-09-13,55.6464967048,37.5159810534,12.57,3.941
2017-09-13,55.6464954135,37.5239235762,4.3,-0.428
2017-09-13,55.6464936082,37.531866097,4.58,0.005
2017-09-13,55.6464912889,37.5398086166,1.48,-0.073
2017-09-13,55.646476872,37.571578683,3.03,2.358
2017-09-13,55.646466579,37.5874637012,2.33,0.533
2017-09-13,55.6464606615,37.5954062079,1.56,-0.843
2017-09-13,55.6464542299,37.60334871,6.64,0.861
2017-09-13,55.6464472844,37.6112912088,1.01,-0.772
2017-09-13,55.6464398248,37.619233706,1.98,-0.62
2017-09-13,55.6507581152,37.2617937614,2.79,1.328
2017-09-13,55.6509315337,37.380944229,4.66,1.857
2017-09-13,55.6509389821,37.3888876343,4.84,1.594
2017-09-13,55.6509459165,37.3968310423,2.58,-0.947
2017-09-13,55.6509523367,37.4047744536,1.81,-0.922
2017-09-13,55.6509882619,37.4842086995,5.51,0.765
2017-09-13,55.6509890145,37.5080394516,4.65,1.175
2017-09-13,55.6509882372,37.5159828826,2.67,1.462
2017-09-13,55.6509869457,37.5239263146,1.7,-0.432
2017-09-13,55.6509851401,37.5318697443,4.09,0.548
2017-09-13,55.6509727772,37.5636434519,1.16,-0.33
