date,place,address,long,lat,evak1,evak2,link
2017-09-22,"Управа р-на ""Текстильщики""","Текстильщиков 8-я ул., д. 16, к.5.",55.7071158,37.701263,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
2017-09-22,Управа р-на Левобережный,"Флотская ул., 1,",55.8651572,37.4314931,да,нет информации ,"https://ria.ru/incidents/20170922/1505303389.html
https://ria.ru/incidents/20170922/1505309601.html"
2017-09-22,Управа р-на Головино,"Флотская ул., 1",55.8651572,37.4314931,да,нет информации ,"https://ria.ru/incidents/20170922/1505303389.html
https://ria.ru/incidents/20170922/1505309601.html"
2017-09-22,Управа р-на Ховрино,"Флотская ул., 1",55.8651572,37.4314931,да,нет информации ,"https://ria.ru/incidents/20170922/1505303389.html
https://ria.ru/incidents/20170922/1505309601.html"
2017-09-22,Управа р-на Бирюлево Западное,"Медынская ул., 14Б,",55.582376,37.6436773,да,нет информации ,"https://ria.ru/incidents/20170922/1505303389.html
https://ria.ru/incidents/20170922/1505309601.html"
2017-09-22,Управа р-на  Северное Бутово,"ул. Грина, 1к2",55.562218,37.5806793,да,нет информации ,"https://ria.ru/incidents/20170922/1505303389.html
https://ria.ru/incidents/20170922/1505309601.html"
2017-09-22,Управа р-на Войковский,"1-й Новоподмосковный пер., 2/1,",55.8157318,37.5018923,да,нет информации ,https://ria.ru/incidents/20170922/1505309601.html
2017-09-22,"Управа р-на "", ""Москворечье-Сабурово","
Пролетарский пр., 7, ",55.6455621,37.6546628,да,нет информации ,https://ria.ru/incidents/20170922/1505309601.html
2017-09-22,Управа р-на Тимирязевский,"Астрадамский пр-д, 4,",55.811679,37.5588252,да,нет информации ,https://ria.ru/incidents/20170922/1505309601.html
2017-09-22,Управа р-на Ясенево,"ул. Паустовского, 8, к. 1",55.6015327,37.5356385,да,нет информации ,https://ria.ru/incidents/20170922/1505309601.html
2017-09-22,Префектура Зеленоградского округа,"Центральный пр., 1 ",55.9904614,37.2130857,да,нет информации ,https://ria.ru/incidents/20170922/1505309601.html
2017-09-21,ТЦ Принц Плаза,"Профсоюзная ул., 129А",55.6186693,37.5047384,да,1500,"https://ria.ru/incidents/20170921/1505276580.html
https://www.rbc.ru/rbcfreenews/59c3e8eb9a7947bc27b43dc1"
2017-09-21,ТЦ Домодедовский,"Ореховый б-р, 14, корп. 3",55.609739,37.7177051,да,,"https://ria.ru/incidents/20170921/1505276580.html
https://www.rbc.ru/rbcfreenews/59c3e8eb9a7947bc27b43dc1"
2017-09-21,ТЦ Москворечье,"Каширское ш., 26,",55.653834,37.6447107,да,нет информации ,https://ria.ru/incidents/20170921/1505276580.html
2017-09-21,ТЦ Калужский,"Профсоюзная ул., 61А,",55.6560231,37.5391299,да,нет информации ,https://ria.ru/incidents/20170921/1505276580.html
2017-09-21,ТЦ Капитолий,Вернадского дом 6,55.691966,37.5259133,да,нет информации ,https://ria.ru/incidents/20170921/1505276580.html
2017-09-21,ТЦ Спектр ,"Новоясеневский пр-кт, 1",55.6131738,37.5126837,да,нет информации ,https://ria.ru/incidents/20170921/1505276580.html
2017-09-21,Офис Яндекса,"ул. Тимура Фрунзе, 11,",55.7340351,37.5867093,да,2000,https://ria.ru/incidents/20170921/1505256975.html
2017-09-21,Музей холодной войны,"5-й Котельнический пер., 11",55.7418271,37.6471913,да,нет информации,https://ria.ru/incidents/20170921/1505242230.html
2017-09-21,Дарвиновский музей,"улица Вавилова, 57",55.6906834,37.5592602,да,нет информации,https://ria.ru/incidents/20170921/1505242230.html
2017-09-21,Музей кино,"пр-кт Мира, 119, стр.36,",55.839646,37.6146018,да,нет информации,https://ria.ru/incidents/20170921/1505242230.html
2017-09-21,Музей московского транспорта,"Рогожский Вал ул., 9/2,",55.742342,37.6766262,да,нет информации,https://ria.ru/incidents/20170921/1505242230.html
2017-09-21,"Музей ""Коломенское""","Андропова пр-т, 39",55.667258,37.6522459,да,нет информации,https://ria.ru/incidents/20170921/1505242230.html
2017-09-21,Бирюлевский дендропарк,Липецкая ул.,55.599583,37.6746794,да,нет информации,https://ria.ru/incidents/20170921/1505242230.html
2017-09-21,Музей-панорама Бородинская Битва,"Кутузовский проспект, д. 38, стр. 1",55.738764,37.5209623,да,нет информации,https://ria.ru/incidents/20170921/1505245188.html
2017-09-20,ТЦ Капитолий,Вернадского дом 6,55.691966,37.5259133,да,нет информации,https://ria.ru/incidents/20170920/1505184147.html
2017-09-20,ТЦ Горбушкин Двор,"Багратионовский пр-д, 7",55.7424624,37.5021641,да,нет информации,https://ria.ru/incidents/20170920/1505184147.html
