date,place,address,long,lat,evak1,evak2,link
2017-09-13,МГИМО,"пр. Вернадского, 76",55.6682638,37.4865767,да,нет информации,https://ria.ru/incidents/20170913/1504710737.html
2017-09-13,РГСУ,"ул Стромынка, 18 корпус 4",55.793086,37.6947029,да,500,https://ria.ru/incidents/20170913/1504714021.html
2017-09-13,РЭУ им Плеханова,Главный корпус - адрес?!,,,да,нет информации,https://ria.ru/incidents/20170913/1504709544.html
2017-09-13,ГУМ,"Красная пл., 3",55.7546025,37.6215995,,нет информации,https://ria.ru/incidents/20170913/1504707934.html
2017-09-13,МГМУ им Сеченова,"Трубецкая, 8",55.7284199,37.5735034,да,600-700,https://ria.ru/incidents/20170913/1504706441.html
2017-09-13,Митинский радиорынок,"Пятницкое ш., 18,",55.8444973,37.3817754,да,нет информации,https://www.pnp.ru/social/v-moskve-ekstrenno-evakuirovan-mitinskiy-radiorynok.html
2017-09-13,ТЦ Метрополис,"Ленинградское ш., 16А, с.4",55.8238235,37.4942928,да,нет информации,https://ria.ru/incidents/20170913/1504698340.html
2017-09-13,Киевский вокзал,"пл. Киевского Вокзала, 1",55.743084,37.56611,да,нет информации,https://ria.ru/incidents/20170913/1504698340.html
2017-09-13,Ярославский вокзал,"Комсомольская пл., 5",55.776807,37.6573189,да,нет информации,https://ria.ru/incidents/20170913/1504698340.html
2017-09-13,Казанский вокзал,"Комсомольская пл., 2",55.7736063,37.6545702,да,нет информации,https://ria.ru/incidents/20170913/1504698340.html
